学生名称,第一阶段期望好感值,第二阶段期望好感值,第三阶段期望好感值,完整三阶段期望好感值,每枚制造石期望好感值,240好感值礼物,180好感值礼物,120好感值礼物,80好感值礼物,60好感值礼物,40好感值礼物,20好感值礼物
真里奈（旗袍）,16.33301,14.782877,55.735746,86.851633,86.851633,时髦梳子、清新的花束、美丽花束,高级蛋形工艺品、桌游《人生》,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,天体望远镜、藏宝图、装扮用圈圈眼镜、世界上最没用的机器、绘画颜料30色套装、益智魔方、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
巴（旗袍）,15.970054,14.7261,55.233215,85.929369,85.929369,莎姆艾菈【Beyond】、清新的花束、美丽花束,街头混混系列第1本、时髦梳子,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、刺绣手绢、百科全书",其他金礼物
丽情,14.518231,14.113904,51.014968,79.647103,79.647103,一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、健身圈、藏宝图,其他金礼物
妃咲,16.695966,15.825834,55.134215,87.656015,87.656015,最高级枫树盆栽、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、古典诗集、食虫植物盆栽、看似昂贵的贪婪之坛、百科全书",其他金礼物
玛丽（偶像）,14.155275,14.210897,50.512437,78.878609,78.878609,针线套装、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
樱子（偶像）,17.058922,16.12837,55.636746,88.824038,88.824038,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、世界上最没用的机器、古典诗集、食虫植物盆栽、看似昂贵的贪婪之坛、百科全书",其他金礼物
美祢（偶像）,15.970054,14.929289,54.129153,85.028496,85.028496,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,波浪猫枕头、樱桃唇彩、蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
千明,15.607098,14.037924,53.626622,83.271644,83.271644,A-Book Rare、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、世界上最没用的机器、百科全书",其他金礼物
皋月,15.970054,14.630706,54.129153,84.729913,84.729913,高级蛋形工艺品、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,百科全书、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、世界上最没用的机器、古典诗集、营养补充剂",其他金礼物
优香（睡衣）,15.607098,14.846336,54.730684,85.184118,85.184118,蕾丝枕头、清新的花束、美丽花束,莎姆艾菈【Beyond】、A-Book Rare,其他紫礼物,,波浪猫枕头、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、Game Girl Color复刻版、果冻抱枕,其他金礼物
诺亚（睡衣）,17.058922,15.56548,56.740808,89.36521,89.36521,蕾丝枕头、清新的花束、美丽花束,街头混混系列第1本、莎姆艾菈【Beyond】,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"波浪猫枕头、无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、《枪、可爱、青春》、果冻抱枕、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
圣娅,16.33301,14.907495,53.527622,84.768127,84.768127,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛、百科全书",其他金礼物
明日奈（制服）,14.518231,13.505135,51.014968,79.038334,79.038334,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套,其他金礼物
花凛（制服）,14.155275,13.867568,50.512437,78.53528,78.53528,针线套装、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、刺绣手绢",其他金礼物
妮露（制服）,16.695966,15.459887,54.030153,86.186006,86.186006,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、天体望远镜、Game Girl Color复刻版、健身圈、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
莉音,15.244143,14.352813,52.02003,81.616986,81.616986,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,天体望远镜、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、Game Girl Color复刻版、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
真纪（露营）,15.244143,14.24813,53.124091,82.616364,82.616364,时髦梳子、清新的花束、美丽花束,A-Book Rare,其他紫礼物,,Game Girl Color复刻版、绘画颜料30色套装、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、游戏杂志《HIT GIRLS》、健身圈,其他金礼物
濑名（便服）,14.881187,14.440442,51.517499,80.839128,80.839128,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛、百科全书,其他金礼物
朱莉（打工）,14.155275,13.933022,50.512437,78.600734,78.600734,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,樱桃唇彩、可爱的餐具套装,其他金礼物
泉（正月）,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,抹茶味弹珠汽水、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、大型蛋糕,其他金礼物
丽,13.79232,12.890329,50.009906,76.692555,76.692555,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、Game Girl Color复刻版、藏宝图,其他金礼物
堇（打工）,14.155275,13.608701,51.616499,79.380475,79.380475,营养满分综合维他命果冻、清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,健身圈、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、营养补充剂,其他金礼物
纱织（礼服）,14.518231,13.757045,52.11903,80.394306,80.394306,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、刺绣手绢,其他金礼物
光,15.607098,14.399542,52.522561,82.529201,82.529201,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、健身圈、大型蛋糕,其他金礼物
望,16.33301,14.782877,54.631684,85.747571,85.747571,桌游《人生》、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、藏宝图、世界上最没用的机器、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
青叶,14.518231,14.205509,53.223091,81.946831,81.946831,针线套装、清新的花束、美丽花束,营养满分综合维他命果冻、音乐演奏会门票,其他紫礼物,,高档自助餐招待券、初音未来的拍立得、闪烁的花束,电影预售票、可爱的餐具套装、营养补充剂,其他金礼物
菲娜（导游）,15.970054,14.68865,54.129153,84.787857,84.787857,街头混混系列第1本、清新的花束、美丽花束,音乐演奏会门票,其他紫礼物,,电影预售票、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、高档自助餐招待券、百科全书",其他金礼物
名草,15.607098,14.491534,53.626622,83.725254,83.725254,时髦梳子、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕、刺绣手绢,其他金礼物
尼娅,17.784833,16.207705,57.74587,91.738408,91.738408,最高级枫树盆栽、清新的花束、美丽花束,高级蛋形工艺品、桌游《人生》,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、装扮用圈圈眼镜、看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束",天体望远镜、藏宝图、世界上最没用的机器、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、发条音乐盒,其他金礼物
夏（乐队）,15.244143,13.957226,52.02003,81.221399,81.221399,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、大型蛋糕、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、藏宝图,其他金礼物
紫（泳装）,15.607098,15.448532,53.626622,84.682252,84.682252,时髦梳子、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,刺绣手绢、夏日泳圈、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
莲华（泳装）,16.33301,15.543035,54.631684,86.507729,86.507729,针线套装、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、夏日泳圈、初音未来的拍立得、闪烁的花束","游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、可爱的餐具套装、百科全书",其他金礼物
桔梗（泳装）,16.695966,15.823187,54.030153,86.549306,86.549306,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,《枪、可爱、青春》、百科全书、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、营养补充剂",其他金礼物
圣娅（泳装）,17.421877,16.60638,56.139277,90.167534,90.167534,桌游《人生》、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,Game Girl Color复刻版、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、古典诗集、食虫植物盆栽、看似昂贵的贪婪之坛、百科全书",其他金礼物
莲见（泳装）,15.607098,14.952727,52.522561,83.082386,83.082386,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,大型蛋糕、夏日泳圈、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、高档自助餐招待券,其他金礼物
一花（泳装）,15.607098,15.18236,53.626622,84.41608,84.41608,莎姆艾菈【Beyond】、清新的花束、美丽花束,A-Book Rare,其他紫礼物,,樱桃唇彩、夏日泳圈、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、Game Girl Color复刻版,其他金礼物
渚（泳装）,15.607098,14.852912,53.626622,84.086632,84.086632,蕾丝枕头、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,高级曲奇礼盒套装、夏日泳圈、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
未花（泳装）,14.881187,14.376704,52.621561,81.879452,81.879452,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、夏日泳圈、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
绘里,15.244143,13.915646,52.02003,81.179819,81.179819,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、绘画颜料30色套装、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
庚,15.970054,14.553358,54.129153,84.652565,84.652565,莎姆艾菈【Beyond】、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,"埃帕蓝牙耳机、无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、初音未来的拍立得、闪烁的花束","游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
美咲（泳装）,14.518231,14.172813,51.014968,79.706012,79.706012,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、夏日泳圈、初音未来的拍立得、闪烁的花束,刺绣手绢,其他金礼物
美代,16.695966,14.985338,55.134215,86.815519,86.815519,街头混混系列第1本、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,"跳跃侦探兔
~由大雾引发的温泉滑倒事件~、初音未来的拍立得、闪烁的花束","无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、藏宝图、世界上最没用的机器、古典诗集、看似昂贵的贪婪之坛、发条音乐盒、百科全书",其他金礼物
冬,14.518231,13.621753,51.014968,79.154952,79.154952,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,电影预售票、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
律,15.607098,14.430031,53.626622,83.663751,83.663751,最高级枫树盆栽、清新的花束、美丽花束,桌游《人生》,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
玲纱（魔法）,19.236656,17.148468,59.755994,96.141118,96.141118,街头混混系列第1本、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲、桌游《人生》,其他紫礼物,,游戏杂志《HIT GIRLS》、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、高级曲奇礼盒套装、《枪、可爱、青春》、天体望远镜、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、健身圈、装扮用圈圈眼镜、蝴蝶结玩具熊、绘画颜料30色套装、古典诗集、益智魔方、大型蛋糕、百科全书",其他金礼物
铃美（魔法）,16.33301,15.482639,56.839808,88.655457,88.655457,时髦梳子、清新的花束、美丽花束,蕾丝枕头、莎姆艾菈【Beyond】、A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,波浪猫枕头、樱桃唇彩、迷彩伪装用粉底液3件套、Game Girl Color复刻版、果冻抱枕、发条音乐盒,其他金礼物
兰舞,16.695966,15.487163,56.238277,88.421406,88.421406,一天三次哑铃套装、清新的花束、美丽花束,高级蛋形工艺品、千层酥咖啡厅的正宗芭菲,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、健身圈、藏宝图、世界上最没用的机器、大型蛋糕、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
昴,17.058922,15.634976,55.636746,88.330644,88.330644,音乐演奏会门票、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,藏宝图、大型蛋糕、发条音乐盒、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、樱桃唇彩、迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味、世界上最没用的机器、看似昂贵的贪婪之坛,其他金礼物
贵音,16.33301,15.240664,54.631684,86.205358,86.205358,音乐演奏会门票、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、古典诗集、刺绣手绢、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
八云,16.695966,15.019161,55.134215,86.849342,86.849342,高级蛋形工艺品、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、藏宝图、世界上最没用的机器、古典诗集、发条音乐盒、百科全书",其他金礼物
月咏（礼服）,15.607098,14.916187,53.626622,84.149907,84.149907,莎姆艾菈【Beyond】、清新的花束、美丽花束,时髦梳子,其他紫礼物,,让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,樱桃唇彩、迷彩伪装用粉底液3件套、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛、刺绣手绢,其他金礼物
满（礼服）,14.881187,14.18115,51.517499,80.579836,80.579836,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛、刺绣手绢,其他金礼物
莉音（武装）,15.607098,14.660639,52.522561,82.790298,82.790298,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,天体望远镜、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、Game Girl Color复刻版、装扮用圈圈眼镜、世界上最没用的机器、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
时（武装）,16.33301,15.624572,54.631684,86.589266,86.589266,桌游《人生》、清新的花束、美丽花束,A-Book Rare,其他紫礼物,,Game Girl Color复刻版、电影预售票、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、游戏杂志《HIT GIRLS》、健身圈、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
日鞠（武装）,15.244143,14.206767,52.02003,81.47094,81.47094,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、初音未来的拍立得、闪烁的花束,藏宝图、看似昂贵的贪婪之坛、发条音乐盒、百科全书、营养补充剂,其他金礼物
爱丽丝（武装）,16.33301,15.290023,54.631684,86.254717,86.254717,桌游《人生》、清新的花束、美丽花束,时髦梳子,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、天体望远镜、健身圈、装扮用圈圈眼镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、刺绣手绢,其他金礼物
柯伊,15.607098,14.632995,52.522561,82.762654,82.762654,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,樱桃唇彩、Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、健身圈,其他金礼物
艾米（武装）,14.881187,13.699716,51.517499,80.098402,80.098402,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、初音未来的拍立得、闪烁的花束",游戏杂志《HIT GIRLS》、Game Girl Color复刻版、健身圈、藏宝图,其他金礼物
柚子（武装）,15.244143,14.270539,53.124091,82.638773,82.638773,A-Book Rare、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,迷彩伪装用粉底液3件套、Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、MX-野外战口粮 C型 甜品风味,其他金礼物
小雪（睡衣）,14.881187,14.187726,52.621561,81.690474,81.690474,桌游《人生》、清新的花束、美丽花束,蕾丝枕头,其他紫礼物,,波浪猫枕头、初音未来的拍立得、闪烁的花束,果冻抱枕、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
木乃香,16.695966,15.487163,56.238277,88.421406,88.421406,一天三次哑铃套装、清新的花束、美丽花束,蕾丝枕头、街头混混系列第1本,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,"波浪猫枕头、无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、果冻抱枕、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、健身圈、古典诗集、百科全书",其他金礼物
丽奈,15.244143,14.600031,54.228153,84.072327,84.072327,针线套装、清新的花束、美丽花束,莎姆艾菈【Beyond】、时髦梳子,其他紫礼物,,蝴蝶结玩具熊、刺绣手绢、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
茜（制服）,15.244143,14.559422,53.124091,82.927656,82.927656,针线套装、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,可爱的餐具套装、发条音乐盒、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛,其他金礼物
妮可,15.244143,14.269443,53.124091,82.637677,82.637677,针线套装、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,MX-野外战口粮 C型 甜品风味、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、高级曲奇礼盒套装、抹茶味弹珠汽水、可爱的餐具套装、大型蛋糕,其他金礼物
胡桃,14.518231,13.388949,51.014968,78.922148,78.922148,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味、蝴蝶结玩具熊,其他金礼物
御伽,14.881187,13.940867,52.621561,81.443615,81.443615,高级蛋形工艺品、清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,健身圈、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味、藏宝图,其他金礼物
绘梨香,17.058922,15.624134,56.740808,89.423864,89.423864,时髦梳子、清新的花束、美丽花束,街头混混系列第1本、莎姆艾菈【Beyond】,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、刺绣手绢、百科全书",其他金礼物
春香（礼服）,16.695966,15.690101,56.238277,88.624344,88.624344,最高级枫树盆栽、清新的花束、美丽花束,高级蛋形工艺品、桌游《人生》,其他紫礼物,,食虫植物盆栽、初音未来的拍立得、闪烁的花束,天体望远镜、藏宝图、装扮用圈圈眼镜、世界上最没用的机器、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
睦月（礼服）,15.607098,14.430031,52.522561,82.55969,82.55969,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
名草（泳装）,16.695966,15.793,56.238277,88.727243,88.727243,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】、千层酥咖啡厅的正宗芭菲,其他紫礼物,,古典诗集、夏日泳圈、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
瞬（泳装）,15.244143,14.600031,53.124091,82.968265,82.968265,营养满分综合维他命果冻、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,益智魔方、夏日泳圈、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
雪玲（泳装）,15.244143,14.600031,53.124091,82.968265,82.968265,营养满分综合维他命果冻、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,益智魔方、夏日泳圈、初音未来的拍立得、闪烁的花束,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
妃咲（泳装）,15.607098,15.448532,52.522561,83.578191,83.578191,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、夏日泳圈、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
真琴（泳装）,16.33301,15.73692,54.631684,86.701614,86.701614,时髦梳子、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,藏宝图、看似昂贵的贪婪之坛、夏日泳圈、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、世界上最没用的机器、食虫植物盆栽、发条音乐盒,其他金礼物
皋月（泳装）,16.33301,15.543035,54.631684,86.507729,86.507729,高级蛋形工艺品、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,百科全书、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、营养补充剂",其他金礼物
